LocationID,Borough,Zone,service_zone
1,Brooklyn,Zone 1,Boro Zone
2,Queens,Zone 2,Boro Zone
3,Bronx,Zone 3,Boro Zone
4,Staten Island,Zone 4,Boro Zone
5,Manhattan,Zone 5,Boro Zone
6,Brooklyn,Zone 6,Boro Zone
7,Queens,Zone 7,Boro Zone
8,Bronx,Zone 8,Boro Zone
9,Staten Island,Zone 9,Airports
10,Manhattan,Zone 10,Boro Zone
11,Brooklyn,Zone 11,Boro Zone
12,Queens,Zone 12,Boro Zone
13,Bronx,Zone 13,Boro Zone
14,Staten Island,Zone 14,Boro Zone
15,Manhattan,Zone 15,Boro Zone
16,Brooklyn,Zone 16,Boro Zone
17,Queens,Zone 17,Boro Zone
18,Bronx,Zone 18,Airports
19,Staten Island,Zone 19,Boro Zone
20,Manhattan,Zone 20,Boro Zone
21,Brooklyn,Zone 21,Boro Zone
22,Queens,Zone 22,Boro Zone
23,Bronx,Zone 23,Boro Zone
24,Staten Island,Zone 24,Boro Zone
25,Manhattan,Zone 25,Boro Zone
26,Brooklyn,Zone 26,Boro Zone
27,Queens,Zone 27,Airports
28,Bronx,Zone 28,Boro Zone
29,Staten Island,Zone 29,Boro Zone
30,Manhattan,Zone 30,Boro Zone
31,Brooklyn,Zone 31,Boro Zone
32,Queens,Zone 32,Boro Zone
33,Bronx,Zone 33,Boro Zone
34,Staten Island,Zone 34,Boro Zone
35,Manhattan,Zone 35,Boro Zone
36,Brooklyn,Zone 36,Airports
37,Queens,Zone 37,Boro Zone
38,Bronx,Zone 38,Boro Zone
39,Staten Island,Zone 39,Boro Zone
40,Manhattan,Zone 40,Boro Zone
41,Brooklyn,Zone 41,Boro Zone
42,Queens,Zone 42,Boro Zone
43,Bronx,Zone 43,Boro Zone
44,Staten Island,Zone 44,Boro Zone
45,Manhattan,Zone 45,Airports
46,Brooklyn,Zone 46,Boro Zone
47,Queens,Zone 47,Boro Zone
48,Bronx,Zone 48,Boro Zone
49,Staten Island,Zone 49,Boro Zone
50,Manhattan,Zone 50,Boro Zone
